Prof Avability,,,,,,,,
,,,,,,,,
,,,,,,,,
,Apr-16,,,,,,,
,Mon 18,,,,,,,
,9:00 AM - 10:00 AM,10:00 AM - 11:00 AM,11:00 AM - 12:00 PM,12:00 PM - 1:00 PM,1:00 PM - 2:00 PM,2:00 PM - 3:00 PM,3:00 PM - 4:00 PM,4:00 PM - 5:00 PM
Prof Christina Dixon,OK,,,,OK,OK,,
Prof Jerry Bell,,OK,OK,,,OK,OK,OK
Prof Virginia Montgomery,OK,,,,OK,,OK,OK
Prof Henry Schmidt,,,,OK,,,,
Prof George Graham,,,,OK,OK,OK,,OK
Prof Peter Anderson,OK,,OK,,OK,,,OK
Prof Edward Ray,OK,,,OK,OK,OK,OK,
Prof Todd Snyder,OK,,OK,,OK,,OK,
Prof Earl Jordan,OK,OK,OK,,OK,OK,OK,
Prof Patrick Vasquez,OK,,,,,,OK,
Prof Albert Wood,OK,OK,,,,OK,OK,OK
Prof Helen Hall,OK,OK,OK,OK,OK,OK,OK,OK
Prof Jane Hernandez,OK,,OK,,,,,
Prof Marilyn Coleman,OK,OK,OK,OK,,OK,,OK
Prof Anthony Daniels,,,OK,,OK,OK,OK,
