Prof Avability,,,,,,,,
,,,,,,,,
,,,,,,,,
,Apr-16,,,,,,,
,Mon 18,,,,,,,
,9:00 AM - 10:00 AM,10:00 AM - 11:00 AM,11:00 AM - 12:00 PM,12:00 PM - 1:00 PM,1:00 PM - 2:00 PM,2:00 PM - 3:00 PM,3:00 PM - 4:00 PM,4:00 PM - 5:00 PM
Prof Albert Wood,OK,OK,OK,,OK,OK,OK,OK
Prof Ronald Gilbert,,,OK,OK,OK,OK,,OK
Prof Earl Adams,,OK,,OK,OK,OK,,
Prof Kelly Fernandez,OK,,OK,OK,,,OK,
Prof Joseph Wood,OK,OK,OK,,,OK,,
Prof Margaret Reid,,,OK,,OK,OK,,OK
Prof Elizabeth Reed,,,,,OK,OK,,
Prof Frank Chavez,OK,,OK,OK,,OK,OK,OK
Prof Heather Butler,OK,OK,OK,,OK,,,OK
Prof Joyce Simmons,OK,,OK,,OK,OK,,OK
Prof Ryan Richardson,OK,OK,,OK,OK,OK,OK,
Prof Andrew Stanley,,,OK,OK,,OK,OK,
Prof Judith Perez,,,OK,OK,,OK,OK,
Prof Sandra Carroll,,,,OK,OK,OK,,
Prof Susan Black,OK,OK,,,OK,OK,OK,
Prof John Duncan,,OK,OK,OK,,OK,OK,
Prof Howard Rivera,,,,,,,OK,
Prof Rebecca Reynolds,OK,,OK,,,OK,,
Prof Christina Ryan,,,,OK,OK,,OK,
Prof Lawrence Ryan,OK,,,,,OK,,OK
Prof Matthew Young,OK,OK,OK,OK,OK,,OK,OK
Prof Joyce Henderson,OK,OK,,,,OK,OK,OK
Prof Patrick Bishop,,,,OK,,OK,,
Prof Wayne Walker,OK,OK,,,OK,,OK,
Prof Matthew Sims,,,OK,,,,,OK
Prof Ryan Chavez,,,OK,OK,,,OK,
Prof Eugene Crawford,OK,OK,OK,,OK,OK,OK,OK
Prof Denise Gibson,,,OK,OK,,OK,OK,
Prof Edward Ray,OK,,OK,OK,,OK,,OK
Prof Ruby Oliver,OK,,,OK,,,OK,
Prof William Hall,OK,OK,OK,OK,,,,OK
Prof Anne Graham,OK,,,,,,OK,OK
Prof Margaret Patterson,,,OK,,,,,OK
Prof Paul Davis,OK,,,OK,OK,,OK,OK
Prof Jimmy Howell,OK,,,,,OK,OK,
Prof Mary Shaw,,OK,,,,OK,,
Prof Jacqueline Gray,OK,OK,,OK,OK,OK,,OK
Prof Janice Weaver,,,,,,OK,,OK
Prof Carl Kelly,OK,OK,OK,,,OK,,OK
Prof Julie Taylor,OK,OK,OK,,OK,OK,OK,
Prof Benjamin Wallace,,OK,,,OK,OK,,OK
Prof Wayne Reyes,OK,,OK,OK,,OK,,OK
Prof Stephanie Sanchez,,,,,,OK,,
Prof James Gonzalez,,,,,,OK,OK,
Prof Ashley Shaw,OK,OK,OK,,,,OK,OK
Prof Nancy Johnston,OK,,,OK,,,OK,OK
Prof Brandon Rose,,,,,OK,OK,,
Prof Joyce Vasquez,,,OK,OK,OK,OK,OK,
Prof Harry Reyes,,OK,,,OK,,,OK
Prof Stephen Ellis,,OK,OK,,OK,OK,,
